name,iaer,density,hygro,dispersion,num_to_mass,var_sd
BC,1,1800.0,1e-10,2.0,0.0,T
OC,2,2000.0,1e-10,2.0,0.0,T
NUC,3,1800.0,0.507,1.59,0.0,T
AIT,4,1800.0,0.507,2.0,0.0,T
ACC,5,1800.0,0.507,2.0,0.0,T
MBS,6,1800.0,0.507,2.0,0.0,T
MOS,7,1800.0,1e-10,2.0,0.0,T
DST01,8,2600.0,0.14,1.9,3484000000000000.0,F
DST02,9,2600.0,0.14,1.9,213800000000000.0,F
DST03,10,2600.0,0.14,1.9,22050000000000.0,F
DST04,11,2600.0,0.14,1.9,3165000000000.0,F
SSLT01,12,2200.0,1.16,1.5914,328640000000000.0,F
SSLT02,13,2200.0,1.16,1.3732,8626500000000.0,F
SSLT03,14,2200.0,1.16,1.4156,504090000000.0,F
SSLT04,15,2200.0,1.16,1.2215,26851000000.0,F
